ID,OpenFace_start_time [sec],Tobii_start_time [sec],Experimental_duration [sec]
A01,793,746.5,300
A02,318,759.5,300
A03,197,582.5,300
A04,215,575,300
A05,275,683,300
A06,279,836.5,161
A07,258,759,300
A08,242,660,300
A09,241,653,300
A10,211,602,300
A11,226,659.5,300
A12,227,683,300
A13,244,681,300
A14,225,688,300
A15,206,770,277
A16,200,653,300
A17,209,781.5,300
A18,191,649.5,300
A19,213,762,300
A20,211,736,300
A21,211,784.5,300
A22,413,157,300
A23,215,717.5,300
A24,197,599.5,300
A25,203,636,300
B01,793,566,300
B02,318,619,300
B03,197,484,300
B04,215,463,300
B05,275,564.5,300
B06,279,730,161
B07,258,639.5,300
B08,242,552,300
B09,241,531.5,300
B10,211,503,300
B11,226,553.5,300
B12,227,546,300
B13,244,587,300
B14,225,555,300
B15,206,484,277
B16,200,464,300
B17,209,659,300
B18,191,497,300
B19,213,625,300
B20,211,490,300
B21,211,513,300
B22,413,700.5,300
B23,215,626.5,300
B24,197,502,300
B25,203,494.5,300
